Time,Ticker,latestPrice,latestVolume,Close,Open,low,high
09:56,YI,6.98,75555,6.98,6.96,6.75,7.165
09:56,PIH,5.35,5115,5.35,5.39,5.31,5.5
09:56,PIHPP,23.25,7300,23.25,23.59,23.25,23.59
09:56,TURN,1.89,13638,1.89,1.9,1.89,1.9140000000000001
09:56,FLWS,18.15,280851,18.15,18.37,18.04,18.999
09:56,BCOW,9.71,1897,9.71,9.7,9.66,9.71
09:56,FCCY,17.82,11752,17.82,18.46,17.82,18.67
09:56,SRCE,42.63,52978,42.63,44.81,42.49,44.81
09:56,VNET,8.37,277792,8.37,8.49,8.345,8.54
09:56,TWOU,66.06,811494,66.06,68.79,65.5,69.42
09:56,QFIN,16.75,65288,16.75,16.73,16.133,16.98
09:56,TPNL,6.98,182915,6.98,6.89,6.85,7.06
09:56,JOBS,73.83,181256,73.83,74.64,73.34,74.9
09:56,EGHT,20.19,1830057,20.19,20.65,19.83,20.73
09:56,AAON,42.38,193302,42.38,43.86,42.29,44.35
09:56,ABEO,7.52,578894,7.52,8.27,7.48,8.27
09:56,ABEOW,3.8,1535,3.8,3.68,3.68,3.8
09:56,ABIL,1.92,109884,1.92,1.96,1.9,2.0
09:56,ABMD,323.21,405959,323.21,334.24,322.87,337.39
09:56,AXAS,1.33,1511276,1.33,1.4,1.305,1.415
09:56,ACIU,4.76,1607349,4.76,4.52,4.52,5.2
09:56,ACIA,54.8,1393791,54.8,57.67,54.37,58.11
09:56,ACTG,3.14,561684,3.14,3.16,3.11,3.19
09:56,ACHC,30.06,475587,30.06,31.13,30.02,31.13
09:56,ACAD,26.1,1463374,26.1,27.05,25.97,27.38
09:56,ACAMU,9.96,10392,9.96,9.96,9.96,9.97
09:56,ACST,1.05,368530,1.05,1.05,1.03,1.07
09:56,AXDX,19.89,223429,19.89,20.36,19.19,20.61
09:56,XLRN,44.16,335386,44.16,46.87,44.1,47.37
09:56,ARAY,4.71,663093,4.71,4.78,4.71,4.89
09:57,ACRX,3.16,1734263,3.16,3.22,3.12,3.289
09:57,ACER,22.9,22313,22.9,23.52,22.53,23.52
09:57,ACET,0.172,2350088,0.172,0.171,0.1625,0.17800000000000002
09:57,AKAO,0.52,1630361,0.52,0.5485,0.52,0.5577
09:57,ACHV,2.83,252861,2.83,2.95,2.82,3.006
09:57,ACHN,2.93,1405534,2.93,3.11,2.93,3.16
09:57,ACIW,32.18,544077,32.18,33.07,32.17,33.37
09:57,ACRS,6.12,436957,6.12,6.18,5.96,6.25
09:57,ACMR,14.48,159124,14.48,16.26,14.28,16.32
09:57,ACNB,35.04,12594,35.04,36.21,35.0,36.21
09:57,ACOR,13.13,646773,13.13,14.01,13.09,14.04
09:57,ATVI,46.87,11101993,46.87,48.42,46.28,48.45
09:57,ADMS,7.66,293117,7.66,7.95,7.66,7.99
09:57,ADMP,2.14,424514,2.14,2.25,2.14,2.25
09:57,ADAP,3.63,235807,3.63,3.83,3.6,3.83
09:57,ADUS,63.04,84310,63.04,66.0,63.0,66.55
09:57,AEY,1.35,15813,1.35,1.39,1.32,1.39
09:57,IOTS,6.1,153260,6.1,6.26,5.96,6.27
09:57,ADIL,3.01,139078,3.01,3.1,2.85,3.13
10:42,YI,6.98,75555,6.98,6.96,6.75,7.165
10:42,PIH,5.35,5115,5.35,5.39,5.31,5.5
10:42,PIHPP,23.25,7300,23.25,23.59,23.25,23.59
10:42,TURN,1.89,13638,1.89,1.9,1.89,1.914
10:42,FLWS,18.15,280851,18.15,18.37,18.04,18.999000000000002
10:42,BCOW,9.71,1897,9.71,9.7,9.66,9.71
10:42,FCCY,17.82,11752,17.82,18.46,17.82,18.67
10:42,SRCE,42.63,52978,42.63,44.81,42.49,44.81
10:42,VNET,8.37,277792,8.37,8.49,8.345,8.54
10:42,TWOU,66.06,811494,66.06,68.79,65.5,69.42
10:42,QFIN,16.75,65288,16.75,16.73,16.133,16.98
10:42,TPNL,6.98,182915,6.98,6.89,6.85,7.06
10:42,JOBS,73.83,181256,73.83,74.64,73.34,74.9
10:42,EGHT,20.19,1830057,20.19,20.65,19.83,20.73
10:42,AAON,42.38,193302,42.38,43.86,42.29,44.35
10:42,ABEO,7.52,578894,7.52,8.27,7.48,8.27
10:42,ABEOW,3.8,1535,3.8,3.68,3.68,3.8
10:42,ABIL,1.92,109884,1.92,1.96,1.9,2.0
10:42,ABMD,323.21,405959,323.21,334.24,322.87,337.39
10:42,AXAS,1.33,1511276,1.33,1.4,1.305,1.415
10:42,ACIU,4.76,1607349,4.76,4.52,4.52,5.2
10:42,ACIA,54.8,1393791,54.8,57.67,54.37,58.11
10:42,ACTG,3.14,561684,3.14,3.16,3.11,3.19
10:42,ACHC,30.06,475587,30.06,31.13,30.02,31.13
10:42,ACAD,26.1,1463374,26.1,27.05,25.97,27.38
10:42,ACAMU,9.96,10392,9.96,9.96,9.96,9.97
10:42,ACST,1.05,368530,1.05,1.05,1.03,1.07
10:42,AXDX,19.89,223429,19.89,20.36,19.19,20.61
10:42,XLRN,44.16,335386,44.16,46.87,44.1,47.37
10:42,ARAY,4.71,663093,4.71,4.78,4.71,4.89
10:42,ACRX,3.16,1734263,3.16,3.22,3.12,3.2889999999999997
10:42,ACER,22.9,22313,22.9,23.52,22.53,23.52
10:42,ACET,0.172,2350088,0.172,0.171,0.1625,0.17800000000000002
10:42,AKAO,0.52,1630361,0.52,0.5485,0.52,0.5577
10:42,ACHV,2.83,252861,2.83,2.95,2.82,3.0060000000000002
10:42,ACHN,2.93,1405534,2.93,3.11,2.93,3.16
10:42,ACIW,32.18,544077,32.18,33.07,32.17,33.37
10:42,ACRS,6.12,436957,6.12,6.18,5.96,6.25
10:42,ACMR,14.48,159124,14.48,16.26,14.28,16.32
10:42,ACNB,35.04,12594,35.04,36.21,35.0,36.21
10:42,ACOR,13.13,646773,13.13,14.01,13.09,14.04
10:42,ATVI,46.87,11101993,46.87,48.42,46.28,48.45
10:42,ADMS,7.66,293117,7.66,7.95,7.66,7.99
10:42,ADMP,2.14,424514,2.14,2.25,2.14,2.25
10:42,ADAP,3.63,235807,3.63,3.83,3.6,3.83
10:42,ADUS,63.04,84310,63.04,66.0,63.0,66.55
10:42,AEY,1.35,15813,1.35,1.39,1.32,1.39
10:42,IOTS,6.1,153260,6.1,6.26,5.96,6.27
10:42,ADIL,3.01,139078,3.01,3.1,2.85,3.13
11:10,YI,6.98,75555,6.98,6.96,6.75,7.165
11:10,PIH,5.35,5115,5.35,5.39,5.31,5.5
11:10,PIHPP,23.25,7300,23.25,23.59,23.25,23.59
11:10,TURN,1.89,13638,1.89,1.9,1.89,1.9140000000000001
11:10,FLWS,18.15,280851,18.15,18.37,18.04,18.999
11:10,BCOW,9.71,1897,9.71,9.7,9.66,9.71
11:10,FCCY,17.82,11752,17.82,18.46,17.82,18.67
11:10,SRCE,42.63,52978,42.63,44.81,42.49,44.81
11:10,VNET,8.37,277792,8.37,8.49,8.345,8.54
11:10,TWOU,66.06,811494,66.06,68.79,65.5,69.42
11:10,QFIN,16.75,65288,16.75,16.73,16.133,16.98
11:10,TPNL,6.98,182915,6.98,6.89,6.85,7.06
11:10,JOBS,73.83,181256,73.83,74.64,73.34,74.9
11:10,EGHT,20.19,1830057,20.19,20.65,19.83,20.73
11:10,AAON,42.38,193302,42.38,43.86,42.29,44.35
11:10,ABEO,7.52,578894,7.52,8.27,7.48,8.27
11:10,ABEOW,3.8,1535,3.8,3.68,3.68,3.8
11:10,ABIL,1.92,109884,1.92,1.96,1.9,2.0
11:10,ABMD,323.21,405959,323.21,334.24,322.87,337.39
11:10,AXAS,1.33,1511276,1.33,1.4,1.305,1.415
